=== Qi 2.2.1 未知指令拦截对照表 ===

[2026-04-02 23:05:20.766] 发现未知 FSK | Header: 0x11 | 示例: 11
[2026-04-02 23:05:21.002] 发现未知 FSK | Header: 0x30 | 示例: 30 22 86 0 94
[2026-04-02 23:05:27.724] 发现未知 ASK | Header: 0x15 | 示例: 15 33 26
[2026-04-02 23:13:36.076] 发现未知 FSK | Header: 0x11 | 示例: 11
[2026-04-02 23:13:36.324] 发现未知 FSK | Header: 0x30 | 示例: 30 22 86 0 94
[2026-04-02 23:13:43.125] 发现未知 ASK | Header: 0x15 | 示例: 15 33 26
[2026-04-03 15:29:42.213] 发现未知 FSK | Header: 0x11 | 示例: 11
[2026-04-03 15:29:42.446] 发现未知 FSK | Header: 0x30 | 示例: 30 22 86 0 94
[2026-04-03 15:29:49.218] 发现未知 ASK | Header: 0x15 | 示例: 15 33 26
[2026-04-03 15:59:51.516] 发现未知 FSK | Header: 0x11 | 示例: 11
[2026-04-03 15:59:51.763] 发现未知 FSK | Header: 0x30 | 示例: 30 22 86 0 94
[2026-04-03 15:59:58.544] 发现未知 ASK | Header: 0x15 | 示例: 15 33 26
[2026-04-03 16:22:47.738] 发现未知 FSK | Header: 0x11 | 示例: 11
[2026-04-03 16:22:47.985] 发现未知 FSK | Header: 0x30 | 示例: 30 22 86 0 94
[2026-04-03 16:22:54.941] 发现未知 ASK | Header: 0x15 | 示例: 15 33 26
[2026-04-03 19:41:00.157] 发现未知 FSK | Header: 0x11 | 示例: 11
[2026-04-03 19:41:06.426] 发现未知 FSK | Header: 0x30 | 示例: 30 22 86 0 94
[2026-04-03 20:41:30.038] 发现未知 FSK | Header: 0x11 | 示例: 11
[2026-04-03 20:47:04.334] 发现未知 FSK | Header: 0x11 | 示例: 11
[2026-04-03 20:47:04.582] 发现未知 FSK | Header: 0x30 | 示例: 30 22 86 0 94
[2026-04-03 20:47:11.164] 发现未知 ASK | Header: 0x15 | 示例: 15 33 26
[2026-04-03 20:56:38.977] 发现未知 FSK | Header: 0x11 | 示例: 11
[2026-04-03 20:56:39.223] 发现未知 FSK | Header: 0x30 | 示例: 30 22 86 0 94
[2026-04-03 20:56:51.761] 发现未知 ASK | Header: 0x15 | 示例: 15 33 26
[2026-04-03 21:05:31.747] 发现未知 ASK | Header: 0x15 | 示例: 15 33 26
[2026-04-03 21:07:04.866] 发现未知 FSK | Header: 0x11 | 示例: 11
[2026-04-03 21:07:05.112] 发现未知 FSK | Header: 0x30 | 示例: 30 22 86 0 94
